journal_no,line_no,entry_date,branch_code,account,description,debit_amt,credit_amt
JE-00001,1,2026-01-01,RL-BRI,1010,Opening balance,420000.0,0
JE-00001,2,2026-01-01,RL-BRI,1100,Opening balance,419812.38,0
JE-00001,3,2026-01-01,RL-BRI,1200,Opening balance,693967.32,0
JE-00001,4,2026-01-01,RL-BRI,2000,Opening balance,0,134339.96
JE-00001,5,2026-01-01,RL-BRI,3900,Opening balance,0,1399439.74
JE-00002,1,2026-01-01,RL-KPT,1010,Opening balance,315000.0,0
JE-00002,2,2026-01-01,RL-KPT,1100,Opening balance,282455.47,0
JE-00002,3,2026-01-01,RL-KPT,1200,Opening balance,554998.26,0
JE-00002,4,2026-01-01,RL-KPT,2000,Opening balance,0,90385.75
JE-00002,5,2026-01-01,RL-KPT,3900,Opening balance,0,1062067.98
JE-00003,1,2026-01-01,RL-JCB,1010,Opening balance,231000.0,0
JE-00003,2,2026-01-01,RL-JCB,1100,Opening balance,143758.36,0
JE-00003,3,2026-01-01,RL-JCB,1200,Opening balance,340068.53,0
JE-00003,4,2026-01-01,RL-JCB,2000,Opening balance,0,46002.67
JE-00003,5,2026-01-01,RL-JCB,3900,Opening balance,0,668824.22
JE-00004,1,2026-01-31,RL-BRI,1100,Sales accrual January,203012.41,0
JE-00004,2,2026-01-31,RL-BRI,4000,Sales accrual January,0,199967.22
JE-00004,3,2026-01-31,RL-BRI,4010,Freight recovered January,0,3045.19
JE-00004,4,2026-01-31,RL-BRI,5000,COGS January,150381.84,0
JE-00004,5,2026-01-31,RL-BRI,1200,COGS relief January,0,150381.84
JE-00004,6,2026-01-31,RL-BRI,1010,Customer collections January,196922.04,0
JE-00004,7,2026-01-31,RL-BRI,1100,Customer collections January,0,196922.04
JE-00004,8,2026-01-31,RL-BRI,1200,Inventory receipts January,105652.78,0
JE-00004,9,2026-01-31,RL-BRI,2000,Inventory receipts January,0,105652.78
JE-00004,10,2026-01-31,RL-BRI,2000,Vendor payments January,95087.5,0
JE-00004,11,2026-01-31,RL-BRI,1010,Vendor payments January,0,95087.5
JE-00004,12,2026-01-31,RL-BRI,6100,Payroll January,130000.0,0
JE-00004,13,2026-01-31,RL-BRI,1010,Payroll January,0,130000.0
JE-00004,14,2026-01-31,RL-BRI,6200,Rent January,26000.0,0
JE-00004,15,2026-01-31,RL-BRI,1010,Rent January,0,26000.0
