snapshot_date,branch_code,item_no,on_hand_qty,allocated_qty,on_order_qty,backorder_qty,unit_cost,inventory_value
2026-04-30,RL-BRI,RM-1001,4614,0,0,0,2.86,13196.04
2026-04-30,RL-BRI,RM-1002,2789,0,0,0,4.95,13805.55
2026-04-30,RL-BRI,RM-1003,1729,152,705,250,8.25,14264.25
2026-04-30,RL-BRI,RM-1010,1588,0,259,0,13.50,21438.00
2026-04-30,RL-BRI,RM-1011,1533,155,0,0,17.95,27517.35
2026-04-30,RL-BRI,RM-1020,1315,17,0,114,4.05,5325.75
2026-04-30,RL-BRI,RM-1021,382,0,185,0,28.10,10734.20
2026-04-30,RL-BRI,RM-1022,1938,469,0,0,6.45,12500.10
2026-04-30,RL-BRI,FS-2001,1615,292,235,0,20.60,33269.00
2026-04-30,RL-BRI,FS-2002,985,97,388,0,23.60,23246.00
2026-04-30,RL-BRI,FS-2010,4032,0,0,0,1.33,5362.56
2026-04-30,RL-BRI,FS-2011,286,0,230,13,34.90,9981.40
2026-04-30,RL-BRI,CM-3001,4736,571,1159,0,4.95,23443.20
2026-04-30,RL-BRI,CM-3002,2286,46,0,0,3.90,8915.40
2026-04-30,RL-BRI,CM-3010,758,0,0,0,9.30,7049.40
2026-04-30,RL-BRI,CM-3020,742,0,0,0,10.25,7605.50
2026-04-30,RL-BRI,RF-4001,2371,0,0,0,27.90,66150.90
2026-04-30,RL-BRI,RF-4002,819,0,0,0,37.65,30835.35
2026-04-30,RL-BRI,RF-4010,1179,240,0,0,21.50,25348.50
2026-04-30,RL-BRI,RF-4011,660,161,0,58,78.85,52041.00
2026-04-30,RL-BRI,RF-4020,4798,988,0,0,1.69,8108.62
2026-04-30,RL-BRI,PT-5001,1011,0,0,50,32.20,32554.20
2026-04-30,RL-BRI,PT-5002,812,151,0,0,23.70,19244.40
2026-04-30,RL-BRI,PT-5010,1792,216,0,219,9.05,16217.60
2026-04-30,RL-BRI,PT-5011,1169,238,282,158,13.25,15489.25
2026-04-30,RL-BRI,DW-6001,273,60,0,0,64.10,17499.30
2026-04-30,RL-BRI,DW-6002,203,43,74,9,208.10,42244.30
2026-04-30,RL-BRI,DW-6010,197,4,114,27,224.60,44246.20
2026-04-30,RL-BRI,SX-7001,543,132,0,0,68.05,36951.15
2026-04-30,RL-BRI,SX-7010,2275,101,902,0,10.65,24228.75
2026-04-30,RL-BRI,TL-9001,3273,0,1052,492,4.50,14728.50
2026-04-30,RL-BRI,TL-9002,1629,237,0,0,6.40,10425.60
2026-04-30,RL-KPT,RM-1001,5019,213,2251,478,2.86,14354.34
2026-04-30,RL-KPT,RM-1002,2675,0,0,0,4.95,13241.25
2026-04-30,RL-KPT,RM-1003,577,0,398,0,8.25,4760.25
2026-04-30,RL-KPT,RM-1010,1109,0,0,300,13.50,14971.50
2026-04-30,RL-KPT,RM-1011,1300,0,0,0,17.95,23335.00
2026-04-30,RL-KPT,RM-1020,893,158,0,0,4.05,3616.65
2026-04-30,RL-KPT,RM-1021,219,0,74,0,28.10,6153.90
2026-04-30,RL-KPT,RM-1022,924,18,0,53,6.45,5959.80
2026-04-30,RL-KPT,FS-2001,1005,18,0,0,20.60,20703.00
2026-04-30,RL-KPT,FS-2002,1274,0,0,157,23.60,30066.40
2026-04-30,RL-KPT,FS-2010,5949,0,0,0,1.33,7912.17
2026-04-30,RL-KPT,FS-2011,231,2,60,8,34.90,8061.90
2026-04-30,RL-KPT,CM-3001,3538,165,0,0,4.95,17513.10
2026-04-30,RL-KPT,CM-3002,1113,0,200,0,3.90,4340.70
2026-04-30,RL-KPT,CM-3010,734,58,0,0,9.30,6826.20
2026-04-30,RL-KPT,CM-3020,851,167,0,0,10.25,8722.75
2026-04-30,RL-KPT,RF-4001,2084,0,1116,0,27.90,58143.60
2026-04-30,RL-KPT,RF-4002,514,0,0,0,37.65,19352.10
2026-04-30,RL-KPT,RF-4010,650,0,0,0,21.50,13975.00
2026-04-30,RL-KPT,RF-4011,449,0,0,0,78.85,35403.65
2026-04-30,RL-KPT,RF-4020,2815,234,0,0,1.69,4757.35
2026-04-30,RL-KPT,PT-5001,1030,0,0,0,32.20,33166.00
2026-04-30,RL-KPT,PT-5002,647,0,0,0,23.70,15333.90
2026-04-30,RL-KPT,PT-5010,2809,505,0,0,9.05,25421.45
2026-04-30,RL-KPT,PT-5011,797,66,0,0,13.25,10560.25
2026-04-30,RL-KPT,DW-6001,402,88,0,0,64.10,25768.20
2026-04-30,RL-KPT,DW-6002,155,12,0,0,208.10,32255.50
2026-04-30,RL-KPT,DW-6010,143,0,37,0,224.60,32117.80
2026-04-30,RL-KPT,SX-7001,317,42,230,0,68.05,21571.85
2026-04-30,RL-KPT,SX-7010,1060,254,0,0,10.65,11289.00
2026-04-30,RL-KPT,TL-9001,2705,0,0,0,4.50,12172.50
2026-04-30,RL-KPT,TL-9002,2058,0,0,0,6.40,13171.20
2026-04-30,RL-JCB,RM-1001,3099,766,1191,0,2.86,8863.14
2026-04-30,RL-JCB,RM-1002,1141,282,0,0,4.95,5647.95
2026-04-30,RL-JCB,RM-1003,739,127,293,0,8.25,6096.75
2026-04-30,RL-JCB,RM-1010,722,135,544,0,13.50,9747.00
2026-04-30,RL-JCB,RM-1011,762,0,147,151,17.95,13677.90
2026-04-30,RL-JCB,RM-1020,535,0,0,125,4.05,2166.75
2026-04-30,RL-JCB,RM-1021,286,0,46,0,28.10,8036.60
2026-04-30,RL-JCB,RM-1022,1278,0,0,99,6.45,8243.10
2026-04-30,RL-JCB,FS-2001,502,0,0,0,20.60,10341.20
2026-04-30,RL-JCB,FS-2002,565,0,120,0,23.60,13334.00
2026-04-30,RL-JCB,FS-2010,2673,126,0,0,1.33,3555.09
2026-04-30,RL-JCB,FS-2011,320,0,0,0,34.90,11168.00
2026-04-30,RL-JCB,CM-3001,2847,243,0,0,4.95,14092.65
2026-04-30,RL-JCB,CM-3002,647,0,0,0,3.90,2523.30
2026-04-30,RL-JCB,CM-3010,320,61,131,0,9.30,2976.00
2026-04-30,RL-JCB,CM-3020,386,62,0,0,10.25,3956.50
2026-04-30,RL-JCB,RF-4001,926,0,647,0,27.90,25835.40
2026-04-30,RL-JCB,RF-4002,342,0,141,0,37.65,12876.30
2026-04-30,RL-JCB,RF-4010,297,0,299,0,21.50,6385.50
2026-04-30,RL-JCB,RF-4011,293,61,0,0,78.85,23103.05
2026-04-30,RL-JCB,RF-4020,1270,0,0,0,1.69,2146.30
2026-04-30,RL-JCB,PT-5001,485,60,0,0,32.20,15617.00
2026-04-30,RL-JCB,PT-5002,366,0,217,0,23.70,8674.20
2026-04-30,RL-JCB,PT-5010,1331,0,832,116,9.05,12045.55
2026-04-30,RL-JCB,PT-5011,676,44,81,0,13.25,8957.00
2026-04-30,RL-JCB,DW-6001,213,28,58,0,64.10,13653.30
2026-04-30,RL-JCB,DW-6002,58,0,46,0,208.10,12069.80
2026-04-30,RL-JCB,DW-6010,180,0,0,0,224.60,40428.00
2026-04-30,RL-JCB,SX-7001,188,16,0,0,68.05,12793.40
2026-04-30,RL-JCB,SX-7010,630,0,200,0,10.65,6709.50
2026-04-30,RL-JCB,TL-9001,1607,0,0,0,4.50,7231.50
