invoice_no,line_no,invoice_date,order_no,customer_no,branch_code,item_no,uom,invoiced_qty,unit_price,unit_cost,freight_amt,tax_amt
INV-50001,1,2026-01-06,SO-10001,CT-1002,RL-BRI,DW-6010,EA,1,288.06,224.60,0.00,0.00
INV-50001,2,2026-01-06,SO-10001,CT-1002,RL-BRI,RM-1002,EA,3,6.65,4.95,0.00,0.00
INV-50002,1,2026-01-07,SO-10002,CT-1007,RL-BRI,PT-5001,EA,1,41.88,32.20,0.00,0.00
INV-50002,2,2026-01-07,SO-10002,CT-1007,RL-BRI,PT-5002,EA,1,32.01,23.70,0.00,0.00
INV-50003,1,2026-01-08,SO-10003,BL-3001,RL-BRI,RM-1011,EA,1,21.99,17.95,0.00,0.00
INV-50003,2,2026-01-08,SO-10003,BL-3001,RL-BRI,RM-1020,EA,2,4.99,4.05,0.00,0.00
INV-50003,3,2026-01-08,SO-10003,BL-3001,RL-BRI,SX-7010,EA,1,13.17,10.65,0.00,0.00
INV-50003,4,2026-01-08,SO-10003,BL-3001,RL-BRI,CM-3002,BG,2,4.94,3.90,0.00,0.00
INV-50003,5,2026-01-08,SO-10003,BL-3001,RL-BRI,RM-1011,EA,2,22.87,17.95,0.00,0.00
INV-50004,1,2026-01-06,SO-10004,CT-1003,RL-KPT,RM-1003,EA,1,10.34,8.25,0.00,0.00
INV-50004,2,2026-01-06,SO-10004,CT-1003,RL-KPT,RF-4020,LF,1,2.32,1.69,0.00,0.00
INV-50004,3,2026-01-06,SO-10004,CT-1003,RL-KPT,SX-7010,EA,1,14.42,10.65,0.00,0.00
INV-50004,4,2026-01-06,SO-10004,CT-1003,RL-KPT,RF-4001,BNDL,2,37.14,27.90,0.00,0.00
INV-50004,5,2026-01-06,SO-10004,CT-1003,RL-KPT,PT-5010,EA,1,11.98,9.05,0.00,0.00
INV-50005,1,2026-01-07,SO-10005,CT-1001,RL-JCB,SX-7010,EA,1,14.59,10.65,0.00,0.00
INV-50005,2,2026-01-07,SO-10005,CT-1001,RL-JCB,RM-1001,EA,4,3.93,2.86,0.00,0.00
INV-50006,1,2026-01-09,SO-10006,CT-1005,RL-JCB,FS-2011,EA,1,46.68,34.90,0.00,0.00
INV-50006,2,2026-01-09,SO-10006,CT-1005,RL-JCB,CM-3001,BG,1,6.53,4.95,0.00,0.00
INV-50006,3,2026-01-09,SO-10006,CT-1005,RL-JCB,RM-1001,EA,4,3.63,2.86,0.00,0.00
INV-50007,1,2026-01-08,SO-10007,CT-1005,RL-BRI,FS-2001,BX,1,27.22,20.60,0.00,0.00
INV-50008,1,2026-01-10,SO-10008,CT-1005,RL-KPT,PT-5010,EA,1,11.49,9.05,0.00,0.00
INV-50008,2,2026-01-10,SO-10008,CT-1005,RL-KPT,CM-3010,BG,1,12.37,9.30,0.00,0.00
INV-50008,3,2026-01-10,SO-10008,CT-1005,RL-KPT,RM-1001,EA,2,3.67,2.86,0.00,0.00
INV-50008,4,2026-01-10,SO-10008,CT-1005,RL-KPT,RM-1003,EA,2,10.53,8.25,0.00,0.00
