po_no,line_no,po_date,vendor_no,branch_code,item_no,uom,ordered_qty,received_qty,unit_cost_actual,unit_cost_standard,received_date
PO-20002,1,2026-01-05,VN-003,RL-JCB,CM-3010,BG,5,2,9.95,9.30,2026-01-07
PO-20002,2,2026-01-05,VN-003,RL-JCB,CM-3020,EA,5,5,10.15,10.25,2026-01-08
PO-20002,3,2026-01-05,VN-003,RL-JCB,CM-3001,BG,11,11,5.32,4.95,2026-01-09
PO-20003,1,2026-01-12,VN-002,RL-BRI,FS-2010,EA,19,10,1.40,1.33,2026-01-15
PO-20003,2,2026-01-12,VN-002,RL-BRI,FS-2011,EA,5,2,35.57,34.90,2026-01-15
PO-20003,3,2026-01-12,VN-002,RL-BRI,FS-2002,BX,6,6,24.57,23.60,2026-01-21
PO-20004,1,2026-01-12,VN-004,RL-KPT,RF-4002,BNDL,5,5,38.08,37.65,2026-01-20
PO-20004,2,2026-01-12,VN-004,RL-KPT,RF-4011,RL,5,3,84.45,78.85,2026-01-19
PO-20005,1,2026-01-12,VN-003,RL-JCB,CM-3001,BG,11,0,4.75,4.95,2026-01-19
PO-20005,2,2026-01-12,VN-003,RL-JCB,CM-3002,BG,5,5,4.17,3.90,2026-01-20
PO-20005,3,2026-01-12,VN-003,RL-JCB,CM-3010,BG,5,4,10.00,9.30,2026-01-17
PO-20006,1,2026-01-19,VN-002,RL-BRI,FS-2011,EA,5,5,34.03,34.90,2026-01-25
PO-20006,2,2026-01-19,VN-002,RL-BRI,FS-2001,BX,5,5,20.88,20.60,2026-01-21
PO-20006,3,2026-01-19,VN-002,RL-BRI,FS-2002,BX,7,7,24.57,23.60,2026-01-24
PO-20007,1,2026-01-19,VN-007,RL-KPT,DW-6001,EA,5,5,61.98,64.10,2026-01-21
PO-20007,2,2026-01-19,VN-007,RL-KPT,DW-6002,EA,5,5,205.88,208.10,2026-01-21
PO-20007,3,2026-01-19,VN-007,RL-KPT,DW-6010,EA,5,5,214.42,224.60,2026-01-27
PO-20008,1,2026-01-19,VN-007,RL-JCB,DW-6002,EA,5,5,217.15,208.10,2026-01-26
PO-20008,2,2026-01-19,VN-007,RL-JCB,DW-6010,EA,5,5,215.80,224.60,2026-01-25
PO-20008,3,2026-01-19,VN-007,RL-JCB,DW-6001,EA,5,5,68.07,64.10,2026-01-26
PO-20009,1,2026-01-26,VN-003,RL-KPT,CM-3002,BG,5,5,4.10,3.90,2026-01-31
PO-20009,2,2026-01-26,VN-003,RL-KPT,CM-3001,BG,15,15,5.18,4.95,2026-01-28
PO-20010,1,2026-01-26,VN-002,RL-JCB,FS-2011,EA,5,2,33.41,34.90,2026-01-29
PO-20010,2,2026-01-26,VN-002,RL-JCB,FS-2010,EA,8,7,1.28,1.33,2026-01-30
PO-20011,1,2026-02-02,VN-004,RL-KPT,RF-4001,BNDL,7,7,28.23,27.90,2026-02-07
PO-20011,2,2026-02-02,VN-004,RL-KPT,RF-4020,LF,9,0,1.71,1.69,2026-02-06
PO-20012,1,2026-02-02,VN-001,RL-JCB,RM-1003,EA,5,0,7.99,8.25,2026-02-08
PO-20012,2,2026-02-02,VN-001,RL-JCB,RM-1011,EA,5,0,18.69,17.95,2026-02-05
PO-20012,3,2026-02-02,VN-001,RL-JCB,RM-1001,EA,11,11,3.00,2.86,2026-02-09
PO-20013,1,2026-02-09,VN-007,RL-BRI,DW-6010,EA,5,5,220.70,224.60,2026-02-17
PO-20013,2,2026-02-09,VN-007,RL-BRI,DW-6002,EA,5,5,215.41,208.10,2026-02-11
PO-20013,3,2026-02-09,VN-007,RL-BRI,DW-6001,EA,5,5,61.43,64.10,2026-02-13
PO-20015,1,2026-02-09,VN-007,RL-JCB,DW-6010,EA,5,2,233.75,224.60,2026-02-16
PO-20015,2,2026-02-09,VN-007,RL-JCB,DW-6002,EA,5,0,217.37,208.10,2026-02-15
